SCI_NAME,TAXON_ORDER,PRIMARY_COM_NAME,CATEGORY,ORDER_NAME,FAMILY_NAME,SUBFAMILY_NAME,GENUS_NAME,SPECIES_NAME
Thamnophilus_tenuepunctatus,12907,Lined_Antshrike,species,Passeriformes,Thamnophilidae (Typical Antbirds),?,Thamnophilus,tenuepunctatus
Thamnophilus_torquatus,12898,Rufous-winged_Antshrike,species,Passeriformes,Thamnophilidae (Typical Antbirds),?,Thamnophilus,torquatus
Thamnophilus_unicolor,12962,Uniform_Antshrike,species,Passeriformes,Thamnophilidae (Typical Antbirds),?,Thamnophilus,unicolor
Thamnophilus_zarumae,12899,Chapman's_Antshrike,species,Passeriformes,Thamnophilidae (Typical Antbirds),?,Thamnophilus,zarumae
Thaumastura_cora,8860,Peruvian_Sheartail,species,Apodiformes,Trochilidae (Hummingbirds),?,Thaumastura,cora
Theristicus_caerulescens,2282,Plumbeous_Ibis,species,Pelecaniformes,Threskiornithidae (Ibises and Spoonbills),?,Theristicus,caerulescens
Theristicus_caudatus,2283,Buff-necked_Ibis,species,Pelecaniformes,Threskiornithidae (Ibises and Spoonbills),?,Theristicus,caudatus
Theristicus_melanopis,2286,Black-faced_Ibis,species,Pelecaniformes,Threskiornithidae (Ibises and Spoonbills),?,Theristicus,melanopis
Theristicus_melanopis_branickii,2288,Black-faced_Ibis_(branickii),issf,Pelecaniformes,Threskiornithidae (Ibises and Spoonbills),?,?,?
Theristicus_melanopis_melanopis,2287,Black-faced_Ibis_(melanopis),issf,Pelecaniformes,Threskiornithidae (Ibises and Spoonbills),?,?,?
Thinocorus_orbignyianus,4251,Gray-breasted_Seedsnipe,species,Charadriiformes,Thinocoridae (Seedsnipes),?,Thinocorus,orbignyianus
Thinocorus_rumicivorus,4254,Least_Seedsnipe,species,Charadriiformes,Thinocoridae (Seedsnipes),?,Thinocorus,rumicivorus
Thinornis_novaeseelandiae,3894,Shore_Plover,species,Charadriiformes,Charadriidae (Plovers and Lapwings),?,Thinornis,novaeseelandiae
Thlypopsis_fulviceps,28263,Fulvous-headed_Tanager,species,Passeriformes,Thraupidae (Tanagers and Allies),?,Thlypopsis,fulviceps
Thlypopsis_inornata,28277,Buff-bellied_Tanager,species,Passeriformes,Thraupidae (Tanagers and Allies),?,Thlypopsis,inornata
Thlypopsis_ornata,28268,Rufous-chested_Tanager,species,Passeriformes,Thraupidae (Tanagers and Allies),?,Thlypopsis,ornata
Thlypopsis_pectoralis,28272,Brown-flanked_Tanager,species,Passeriformes,Thraupidae (Tanagers and Allies),?,Thlypopsis,pectoralis
Thlypopsis_ruficeps,28278,Rust-and-yellow_Tanager,species,Passeriformes,Thraupidae (Tanagers and Allies),?,Thlypopsis,ruficeps
Thlypopsis_sordida,28273,Orange-headed_Tanager,species,Passeriformes,Thraupidae (Tanagers and Allies),?,Thlypopsis,sordida
